# number | source | action sequence | controller / opponent feelings and attributes | gameplay hooks | mismatch or distinction
2|Odyssey 1–4|Receive counsel; speak publicly; venture abroad.|Growing confidence / underestimated youth|Targeted help produces lasting growth; small early body.|The youthful version grows through help, unlike the returned warrior who leads others.
4|Odyssey 2; household composite|Keep the household occupied; gather allies; endure another day.|Resolve / frustration at resistance|Enchantment arrivals sustain a watch; gradual communal reward.|Existing rationale incorrectly describes tapping rather than Constellation and must be corrected.
6|Odyssey 12|Stop the crew's ears; bind the captain; row past the song.|Discipline / denied temptation|Pay for each participant; recover after the ordeal.|The established delayed untap preserves Survival and should be the timing model for crew recovery.
9|Odyssey 17|Recognise the disguised master; show affection; die.|Tender relief / solemn pause|Recognition on entry; a small legacy on death.|Keep weak and watchful; do not make the dying dog a fighting hero.
10|Odyssey 2|Summon the assembly; accuse the suitors; meet public hesitation.|Courage / threatened entitlement|Create a public gathering; leadership produces restraint.|A useful token spell should convey speaking before collective action, not an instant successful coup.
15|Aeschylus, Agamemnon; sacrifice at Aulis|The fleet cannot depart; Agamemnon chooses the campaign over his daughter; Iphigenia is killed and the expedition proceeds.|Controller: advancement bought with guilt and loss. Opponent: dread at the price paid for the coming attack.|Require a real creature sacrifice before gaining passage; clear the way for the army; replenish the expedition without restoring its victim.|Iphigenia is the betrayed daughter and victim. Do not turn her death into willing self-sacrifice, divine rescue or a deer substitution. The nine-bird omen is a separate episode.
16|Odyssey 8|Take the lyre; select a story; move the listeners.|Creative command / emotional exposure|Find an action or enchantment from a repertoire; reward a song later.|An ordinary performer, distinct from Demodocus's Saga-specific authority.
17|Odyssey 12|Prepare the restraint; hear the dangerous song; survive with knowledge.|Temptation mastered / thwarted capture|Survival grows the listener; completed endurance reveals an uncertain future.|Shorten without changing which object the granted ability calls this creature.
18|Odyssey 5; navigation interpretation|Choose a hidden route; follow evidence; establish a course.|Curiosity / evasive opponent|Repeated exile play or turning face up earns knowledge.|One of the progression challenges; do not invent another journey-counter vocabulary.
19|Odyssey 13|Arrive asleep; be set ashore; wake confused at home.|Relief / interrupted pursuit|Bounce a traveller; prepare the next draw.|Retain the requested straight Voyage's End reprint.
20|Odyssey 9|Escape anonymously; boast the true name; invite the curse.|Pride / renewed leverage|Return a creature and its attachments; undo accumulated confidence.|Retain the requested straight Hubris reprint, including Oracle function.
